N.demotoristas, Preçobase, Total, Totalwithdiscount, Discount, Difference
1, 12.00, 12.00, 12.00, 0%, 0.00
2, 12.00, 24.00, 24.00, 0%, 0.00
3, 12.00, 36.00, 36.00, 0%, 0.00
4, 12.00, 48.00, 48.00, 0%, 0.00
5, 12.00, 60.00, 60.00, 0%, 0.00
6, 12.00, 72.00, 72.00, 0%, 0.00
7, 11.11, 84.00, 77.78, 8%, 6.22
8, 11.11, 96.00, 88.89, 8%, 7.11
9, 11.11, 108.00, 100.00, 8%, 8.00
10, 11.11, 120.00, 111.11, 8%, 8.89
11, 11.11, 132.00, 122.22, 8%, 9.78
12, 10.91, 144.00, 130.91, 10%, 13.09
13, 10.91, 156.00, 141.82, 10%, 14.18
14, 10.91, 168.00, 152.73, 10%, 15.27
15, 10.91, 180.00, 163.64, 10%, 16.36
16, 10.91, 192.00, 174.55, 10%, 17.45
17, 10.91, 204.00, 185.45, 10%, 18.55
18, 10.91, 216.00, 196.36, 10%, 19.64
19, 10.91, 228.00, 207.27, 10%, 20.73
20, 10.71, 240.00, 214.29, 12%, 25.71
21, 10.71, 252.00, 225.00, 12%, 27.00
22, 10.71, 264.00, 235.71, 12%, 28.29
23, 10.71, 276.00, 246.43, 12%, 29.57
24, 10.71, 288.00, 257.14, 12%, 30.86
25, 10.71, 300.00, 267.86, 12%, 32.14
26, 10.71, 312.00, 278.57, 12%, 33.43
27, 10.71, 324.00, 289.29, 12%, 34.71
28, 10.71, 336.00, 300.00, 12%, 36.00
29, 10.71, 348.00, 310.71, 12%, 37.29
30, 10.71, 360.00, 321.43, 12%, 38.57
